Group;Interventions;Descriptions/mechanisms of action;Indications;Recommended Dose;Maximum Dose;
Nutraceutical;acetyl-L-carnitine;acetylated form of the amino acid derivative L-carnitine, which aids mitochondrial fatty acid metabolism.;;;;
Nutraceutical;alpha-lipoic acid;antioxidant with insulin-mimetic and anti-inflammatory activity;;;;
Pharmacological;acetylsalicylic acid;anti-inflammatory, platelet aggregation inhibitor;;;;
Pharmacological;agomelatin;melatonin, serotonin receptor agonist (Mel1,Mel2), receptor antagonist (5-HT2B, 5-HT2C);;;;
Pharmacological;allopurinol;xanthine oxidase inhibitor;;;;
Pharmacological;amitriptyline;norepinephrine, serotonin reuptake inhibitor, receptor antagonist (5-HT2);;;;
Pharmacological;aripiprazole;dopamine, serotonin receptor partial agonist (D2, 5-HT1A) receptor antagonist (5-HT2A);Bipolar disorder type I -Acute treatment of manic and mixed episodes;15 mg/day;30 mg/day;
Pharmacological;aripiprazole;dopamine, serotonin receptor partial agonist (D2, 5-HT1A) receptor antagonist (5-HT2A);Agitation associated with bipolar mania;;30 mg/day injected IM;
Pharmacological;aripiprazole;dopamine, serotonin receptor partial agonist (D2, 5-HT1A) receptor antagonist (5-HT2A);"Bipolar I disorder  - acute
treatment of manic and mixed
episodes) - pediatric patients (age
10-17)";10 mg/day ;30 mg/day ;
Pharmacological;aripiprazole;dopamine, serotonin receptor partial agonist (D2, 5-HT1A) receptor antagonist (5-HT2A);Maintenance treatment of bipolar I disorder, both as monotherapy and as an adjunct to lithium or valproate;The recommended dose for maintenance treatment is the same dose needed to stabilize patients during acute treatment, both for adult and pediatric patient.;;
Pharmacological;armodafinil;dopamine reuptake inhibitor (DAT);;;;
Pharmacological;asenapine;dopamine, serotonin, norepinephrine receptor antagonist (5-HT2, D2, NE alpha-2);Bipolar mania-adults: acute and maintenance monotherapy;5-10 mg sublingually twice daily;10 mg sublingually twice daily;
Pharmacological;asenapine;dopamine, serotonin, norepinephrine receptor antagonist (5-HT2, D2, NE alpha-2);Bipolar mania – pediatric patients (10 to 17 years): monotherapy;2.5-10 mg sublingually twice daily;10 mg sublingually twice daily;
Pharmacological;asenapine;dopamine, serotonin, norepinephrine receptor antagonist (5-HT2, D2, NE alpha-2);Bipolar mania – adults: as an adjunct to lithium or valproate;5-10 mg sublingually twice daily;10 mg sublingually twice daily;
Pharmacological;brexpiprazole;dopamine, serotonin receptor partial agonist (D2, 5-HT1A) receptor antagonist (5-HT2A);;;;
